Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,10uF,C_0402_1005Metric,87.63,66.294,0.0,top
C10,10uF,C_0402_1005Metric,39.032,38.623,180.0,top
C11,10uF,C_0402_1005Metric,18.542,35.814,0.0,top
C12,10uF,C_0402_1005Metric,65.659,28.829,180.0,top
C13,10uF,C_0402_1005Metric,63.5,28.829,0.0,top
C14,1nF,C_0402_1005Metric,88.138,27.432,-90.0,top
C15,220nF,C_0402_1005Metric,69.342,26.872,180.0,top
C16,10pF,C_0402_1005Metric,71.882,26.162,0.0,top
C17,4.7nF,C_0402_1005Metric,66.929,25.856,0.0,top
C18,220nF,C_0402_1005Metric,64.77,23.697,-90.0,top
C19,4.7uF,C_0402_1005Metric,73.914,23.57,90.0,top
C2,22uF,CP_Elec_5x5.9,61.722,54.61,-90.0,top
C20,4.7uF,C_0402_1005Metric,74.93,23.57,90.0,top
C21,4.7uF,C_0402_1005Metric,75.946,23.57,90.0,top
C22,4.7uF,C_0402_1005Metric,76.962,23.57,90.0,top
C23,10uF,C_0402_1005Metric,64.77,21.792,-90.0,top
C24,22uF,CP_Elec_5x5.9,82.042,19.304,-90.0,top
C25,1nF,C_0402_1005Metric,88.138,16.256,-90.0,top
C26,4.7nF,C_0402_1005Metric,21.5,24.0,0.0,top
C3,4.7uF,C_0402_1005Metric,51.205,52.647,-90.0,top
C4,4.7nF,C_0402_1005Metric,52.221,52.647,-90.0,top
C5,4.7nF,C_0402_1005Metric,53.491,49.745,0.0,top
C6,10uF,C_0402_1005Metric,50.824,47.603,0.0,top
C7,22uF,C_0805_2012Metric,38.608,46.867,0.0,top
C8,22uF,C_0805_2012Metric,34.968,44.835,180.0,top
C9,22uF,C_0805_2012Metric,38.608,44.835,0.0,top
D1,D_Schottky,D_SOD-123F,48.157,53.155,180.0,top
D2,Fuxinsemi_PDS760,TO-277B,21.082,40.64,0.0,top
D3,D_Schottky,D_SOD-123F,72.009,21.792,90.0,top
D4,"Green, 3.2V",LED_0603_1608Metric,83.82,2.032,90.0,top
D5,Blue 2.9V,LED_0603_1608Metric,86.868,2.032,90.0,top
J1,Conn_01x01_Socket,BatteryClip_Keystone_54_D16-19mm,10.009,62.19,-90.0,top
J2,Conn_01x01_Socket,BatteryClip_Keystone_54_D16-19mm,30.009,62.19,-90.0,top
J3,Conn_01x08,PinSocket_1x08_P2.54mm_Vertical,52.832,61.214,90.0,top
J4,USB_C_Receptacle_USB2.0_16P,USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal,90.808,39.116,90.0,top
J5,PM254-1-17-Z-8.5,PinSocket_1x17_P2.54mm_Vertical,64.262,12.954,90.0,top
J6,Conn_02x13_Odd_Even,PinHeader_2x13_P2.54mm_Vertical,62.98,3.59,-90.0,top
J7,Conn_01x01_Socket,BatteryClip_Keystone_54_D16-19mm,10.009,5.81,90.0,top
J8,Conn_01x01_Socket,BatteryClip_Keystone_54_D16-19mm,30.009,5.81,90.0,top
JP1,SolderJumper_2_Bridged,SolderJumper-2_P1.3mm_Bridged_Pad1.0x1.5mm,30.675,25.4,0.0,bottom
JP2,SolderJumper_2_Open,SolderJumper-2_P1.3mm_Open_TrianglePad1.0x1.5mm,30.675,21.59,180.0,bottom
JP3,SolderJumper_2_Bridged,SolderJumper-2_P1.3mm_Bridged_Pad1.0x1.5mm,30.675,17.78,180.0,bottom
L1,2.9Ohms @ 1Mhz,L_Chilisin_BWVS00505030,55.777,54.933,90.0,top
L2,10uH,L_Chilisin_BWVS00505030,46.736,49.0,90.0,top
L3,2.9Ohms @ 1Mhz,L_Chilisin_BWVS00505030,52.475,44.157,90.0,top
L4,1uH,L_Coilcraft_XAL5030-XXX,43.688,41.787,90.0,top
L5,2.9Ohms @ 1Mhz,L_Chilisin_BWVS00505030,60.198,22.352,0.0,top
L6,2.9Ohms @ 1Mhz,L_Chilisin_BWVS00505030,76.2,19.05,-90.0,top
L7,10uH,L_Chilisin_BWVS00505030,67.564,17.982,0.0,top
Q1,DMP3015LSS-13,SOIC-8_3.9x4.9mm_P1.27mm,20.32,47.498,0.0,top
Q2,MMBT3904,SOT-23,79.69,32.5905,180.0,top
Q3,MMBT3904,SOT-23,83.754,32.5905,180.0,top
R1,10k,R_0402_1005Metric,53.491,50.761,0.0,top
R10,5.1k,R_0402_1005Metric,85.09,37.592,180.0,top
R11,180,R_0402_1005Metric,26.924,35.814,180.0,top
R12,10k,R_0402_1005Metric,81.722,35.1305,0.0,top
R13,100k,R_0402_1005Metric,25.4,33.782,-90.0,top
R14,1.18k,R_0402_1005Metric,25.4,30.988,90.0,top
R15,10k,R_0402_1005Metric,77.658,31.0665,180.0,top
R16,10k,R_0402_1005Metric,81.722,31.0665,180.0,top
R17,150k,R_0402_1005Metric,69.342,25.856,180.0,top
R18,100k,R_0402_1005Metric,73.406,25.602,90.0,top
R19,1.54M,R_0402_1005Metric,71.882,25.146,180.0,top
R2,91k,R_0402_1005Metric,53.491,48.729,0.0,top
R20,10Ω,R_0402_1005Metric,63.754,22.808,-90.0,top
R21,10k,R_0402_1005Metric,74.0,45.0,90.0,top
R22,732k,R_0402_1005Metric,19.0,25.5,180.0,top
R23,732k,R_0402_1005Metric,21.5,25.5,180.0,top
R3,10k,R_0402_1005Metric,53.491,47.713,180.0,top
R4,100,R_0402_1005Metric,83.058,44.704,90.0,top
R5,100,R_0402_1005Metric,84.328,44.704,90.0,top
R6,100k,R_0402_1005Metric,36.238,41.925,-90.0,top
R7,732k,R_0402_1005Metric,37.254,41.925,90.0,top
R8,5.1k,R_0402_1005Metric,85.598,40.894,180.0,top
R9,100k,R_0402_1005Metric,39.032,39.639,180.0,top
SW1,SW_Push,SW_SPST_Omron_B3F-315x_Angled,91.48,27.432001,-90.0,top
SW2,SW_Push,SW_SPST_Omron_B3F-315x_Angled,91.48,16.256001,-90.0,top
SW3,SW_Push_DPDT,SW_CK_JS202011AQN_DPDT_Angled,92.4775,5.08,90.0,top
U1,ESP32-WROOM-32E-N8R2,ESP32-WROOM-32E-0p3mm,79.088,56.007,180.0,top
U2,TPS61170DRVR,WSON-6-1EP_2x2mm_P0.65mm_EP1x1.6mm,51.054,49.508,180.0,top
U3,TPS61022,Texas_RWU0007A_VQFN-7_2x2mm_P0.5mm,39.116,41.78725,-90.0,top
U4,CP2102,QFN-28-1EP_5x5mm_P0.5mm_EP3.1x3.1mm,80.772,39.624,90.0,top
U5,LT1963AEST-3.3#TRPBF,SOT-223-3_TabPin2,64.516,34.569,270.0,top
U6,CN3158,SOIC-8-1EP_3.9x4.9mm_P1.27mm_EP2.41x3.3mm_ThermalVias-0p3mm,20.574,32.258,90.0,top
U7,TPS63700,Texas_S-PWSON-N10_ThermalVias,68.199,23.062,0.0,top
